"organizacion","rubro","subrubro","calle","numero","pais","provincia","ciudad","telefono","facebook","web","programa","fecha_distincion","fecha_revalidacion"
"San Ceferino Hotel & Spa","Alojamiento","Casa Rural","Ruta 6","Km 169500","Argentina","Buenos Aires","Luján","(0054) - 2323- 441500",NA,NA,"ISO 9001:2000",2002-06-18,NA
"El Rancho de Popy","Actividad recreativa y deportiva","Servicios recreativos y formativos","Ruta 226","Km 158","Argentina","Buenos Aires","Tandil","(0054) -2293- 444111",NA,NA,"ISO 9001:2008",2005-01-18,NA
"Concesionario del Área de Cataratas del Parque Nacional Iguazú","Concesionaria","Concesionaria","Coronel López y Avenida Mariano Moreno","S/N","Argentina","Misiones","Posadas","(0054) - 3757- 491469",NA,NA,"ISO 9001:2008 / ISO 14001:2004",2005-11-10,NA
"Concesionario del Área de Cataratas del Parque Nacional Iguazú","Concesionaria","Concesionaria","Casilla de Correo","24","Argentina","Misiones","Puerto Iguazú","(0054) 03757- 491670/469/474/476",NA,NA,"ISO 9001:2008",2005-11-10,NA
"Flecha Bus Viajes","Transporte turístico","Transporte Turístico","San Martín","280","Argentina","Río Negro","San Carlos de Bariloche","(0054) - 11 - 40005200",NA,NA,"ISO 9001:2000",2005-11-15,NA
"Flecha Bus Viajes","Transporte turístico","Transporte Turístico","Cassafousth","261","Argentina","Córdoba","Villa Carlos Paz","(0054) -11 - 40005201",NA,NA,"ISO 9001:2000",2005-11-15,NA
"Flecha Bus Viajes","Transporte turístico","Transporte Turístico","Suipacha","776","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(0054) -11 - 4393 0444",NA,NA,"ISO 9001:2008",2005-11-15,NA
"Consult House Travel","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Florida","621","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(0054 ) -11- 4315-1900",NA,NA,"ISO 9001:2008",2006-02-21,NA
"Balneario Villa San José","Balneario","Termas","Ruta 26","Km 2","Argentina","Entre Ríos","Villa San José","(0054) - 3447- 470761",NA,NA,"IRAM 42100:2005",2006-12-19,NA
"Ushuaia Outdoors","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Gobernador Godoy","51","Argentina","Tierra del Fuego","Ushuaia",NA,NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Hotel Bristol","Alojamiento","Hotel 4 estrellas","Cerrito","286","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 5252-6400",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Asociacion de Agencias de Viajes y Turismo de Buenos Aires","Asociación","Asociación","Viamonte","783","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 5237-4040",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Top Dest","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida Corrientes","753","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires",NA,NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Turismo Sat","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","San Luis","1819","Argentina","Buenos Aires","Mar del Plata",NA,NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Argentina Visión Servicios Turísticos","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida Julio A Roca","536","Argentina","Chubut","Puerto Madryn","(0280) 45-5888",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Nikant Tour","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva y emisiva","Avenida Colon","177","Argentina","Buenos Aires","Bahía Blanca","(0291) 0456-5402",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Rincón Club","Alojamiento","Hotel sin categorizar","Alicia Moreau de Justo","1930","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4590-7000",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Tije Travel","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva y emisiva","San Martín","640 y 601","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 5272-8400",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Provincial Plaza Hotel","Alojamiento","Hotel sin categorizar","Caseros","786","Argentina","Salta","Salta",NA,NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Movitrack","Empresas de servicios y espectáculos","Empresas de servicios y espectáculos","Caseros","468","Argentina","Salta","Salta","(0387) 431-6749",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Mirador del Lago Hotel","Alojamiento","Hotel sin categorizar","Avenida del Libertador","2047","Argentina","Santa Cruz","El Calafate","(02902) 49-3213",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Hotel del Dique","Alojamiento","Hotel 4 estrellas","Ruta 47","Km 12","Argentina","Salta","Coronel Moldes","(0387) 490-5112",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Hotel Aspen","Alojamiento","Hotel sin categorizar","Esmeralda","819","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(011) 4313-3550",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Resort de Campo y Polo","Alojamiento","Estancia","Ruta 6 y Río Lujan","S/N","Argentina","Buenos Aires","Open Door","(2323) 49-6669",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Gran Hotel Paraná Yañez","Alojamiento","Hotel sin categorizar","Urquiza","976","Argentina","Entre Ríos","Paraná","(0343) 422-3900",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Cámara de Turismo Comercio E Industria de El Calafate","Cámara de Turismo","Cámara de Turismo","Avenida Roca","1366","Argentina","Santa Cruz","El Calafate","(2966) 49-1196",NA,NA,"Programa de Excelencia en Gestión",2006-12-31,NA
"Aymará Turismo","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","España","735","Argentina","Mendoza","Mendoza","(0054) - 261- 4202064",NA,NA,"ISO 9001:2008",2007-01-29,NA
"Conquistar Travel","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Carlos Pellegrini","1063","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(0054) - 11- 4328-5334, 4322-4133",NA,NA,"ISO 9001:2008",2007-03-20,NA
"Jar Travel","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Crisostomo Alvarez","616-620","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Hotel República","Alojamiento","Hotel sin categorizar","Rivadavia","71","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0481",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"1812 - Hotel Premier","Gastronomía","Restaurante","Crisóstomo Álvarez","510","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0381",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Hotel Premier","Alojamiento","Hotel sin categorizar","Crisóstomo Álvarez","510","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0381",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Abba Tours","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Iturbe","698","Paraguay",NA,"Asunción - Itauguá","(021) 496021",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Hotel Carlos V","Alojamiento","Hotel sin categorizar","25 de Mayo","330","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-1666",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Museo Casa Histórica de la Independencia","Actividad Cultural","Museo","Congreso","141","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0826",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Yastay Viajes y Turismo","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Laprida","209","Argentina","Tucumán","San Miguel de Tucumán","(0381) 422-2211",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Acuarela Viajes","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Crisóstomo Álvarez","529","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-1502",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Turismo Eventos","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","9 de Julio","79","Argentina","Tucumán","San Miguel de Tucumán","(0381) 422-4990",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Patsa Turismo","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Chacabuco","38","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0490",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Pampayoj Cabalgatas","Actividad recreativa y deportiva","Cabalgatas","En Nahuen Turismo","S/N","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Hotel Francia","Alojamiento","Hotel 3 estrellas","Crisóstomo Álvarez","467","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0781",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Hotel Presidente","Alojamiento","Hotel sin categorizar","Monteagudo","249","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-1414",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"La Posta del Viajero","Alojamiento","Hostal","Chacabuco","362","Argentina","Tucumán","San Miguel de Tucumán","(0381) 422-4002",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Hotel Mediterráneo","Alojamiento","Hotel sin categorizar","24 de Septiembre","364","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0025",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Hotel Tucumán Center","Alojamiento","Hotel 4 estrellas","25 de Mayo","230","Argentina","Tucumán","San Miguel de Tucumán","(0381) 452-5555",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Bar de Las Flores","Gastronomía","Restaurante","Terminal de Ómnibus- Brígido Terán","250","Argentina","Tucumán","San Miguel de Tucumán","(0381) 422-1257",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Restobar Mirasoles","Gastronomía","Restaurante","Mate de Luna","1800","Argentina","Tucumán","San Miguel de Tucumán","(0381) 432-4444",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Cilantro Restaurant","Gastronomía","Restaurante","Monteagudo","541","Argentina","Tucumán","San Miguel de Tucumán","(0381) 430-6041",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"La Leñita","Gastronomía","Restaurante","25 de Mayo","377","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Montañas Tucumanas","Guías","Guías Individuales","Catamarca","375","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Móvil Renta","Transporte turístico","Alquiler de autos","San Lorenzo","370","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0550",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,2009-10-27
"Levy'S Tours","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Buenos Aires","133","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-1481",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Ajwenchey Artesanías","Comercio turístico","Productos Regionales Varios","Laprida","137","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Colegio Médico de Tucumán","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Las Piedras","496","Argentina","Tucumán","San Miguel de Tucumán","(0381) 422-0165",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Carola Tours","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Las Heras","375","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-1479",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Hotel del Sol","Alojamiento","Hotel 4 estrellas","Laprida","35","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-1755",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Hotel Garden Park","Alojamiento","Hotel 4 estrellas","Avenida Soldati","330","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-0700",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Oficina de Informes del Ente Autárquico Tucumán Turismo","Organismo Público","Oficina de Informes","24 de Septiembre","484","Argentina","Tucumán","San Miguel de Tucumán","(381) 430-3644",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Coltravel","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Marcos Paz","428","Argentina","Tucumán","San Miguel de Tucumán","(0381) 422-6675",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Hotel Catalinas Park","Alojamiento","Hotel 5 estrellas","Avenida Soldati","380","Argentina","Tucumán","San Miguel de Tucumán","(0381) 450-2200",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Backpackers Tucumán Hostel","Alojamiento","Hostel","Laprida","456","Argentina","Tucumán","San Miguel de Tucumán","(0381) 430-2716",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Suiss Hotel Metropol","Alojamiento","Hotel 4 estrellas","24 de Septiembre","524","Argentina","Tucumán","San Miguel de Tucumán","(0381) 431-1180",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Alfajores del Tucumán","Comercio turístico","Productos Regionales Varios","Congreso","154","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Regionales del Jardín","Comercio turístico","Productos Regionales Varios","Congreso","20","Argentina","Tucumán","San Miguel de Tucumán","(0381) 421-8373",NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Il Postino 2","Gastronomía","Restaurante","Junín","84","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Plaza de Almas","Gastronomía","Restaurante","Maipú","791","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Nuboselva","Guías","Guías Individuales","Avenida Salta","218","Argentina","Tucumán","San Miguel de Tucumán",NA,NA,NA,"Buenas Prácticas en Destinos",2007-05-07,NA
"Dirección de Turismo de la Municipalidad de Pilar","Organismo Público","Organismo Municipal de Turismo","Rivadavia","660","Argentina","Buenos Aires","Pilar","(0054) -2322- 668703",NA,NA,"ISO 9001:2000",2007-06-19,NA
"Nikant Tour","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida Colón","177","Argentina","Buenos Aires","Bahía Blanca","(0054 ) -291- 4565402",NA,NA,"ISO 9001:2008",2007-07-05,NA
"Travel Mark Tours","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva y emisiva","Carabelas","291","Argentina","Capital Federal","Ciudad Autónoma de Buenos Aires","(0054) -11- 4327-3377",NA,NA,"ISO 9001:2008",2007-09-06,NA
"Dirección de Turismo Trelew - Oficina de Informes","Organismo Público","Oficina de Informes","Mitre","387","Argentina","Chubut","Trelew","(0280) 42-0139",NA,NA,"Buenas Prácticas en Destinos",2007-10-03,2010-04-19
"Nievemar Tour SRL Sucursal Trelew","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva","Italia","20","Argentina","Chubut","Trelew","(0280) 443-4114",NA,NA,"Buenas Prácticas en Destinos",2007-10-03,NA
"Coirón Viajes","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva","Rifleros","498","Argentina","Chubut","Playa Unión","(2965) 53-4853",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Operadora de Buceo Aquatours","Actividad recreativa y deportiva","Buceo","Avenida Roca","550","Argentina","Chubut","Puerto Madryn","(0280) 15-451-8265",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Lobo Larsen Buceo","Actividad recreativa y deportiva","Cabalgatas","Boulevard Almirante Brown","860","Argentina","Chubut","Puerto Madryn","(0381) 47-0277",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Museo del Desembarco Punta Cuevas","Actividad Cultural","Museo","Rivadavia","390","Argentina","Chubut","Puerto Madryn","(0280) 47-2643",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Siocled Gaiman","Comercio turístico","Chocolateria","Sarmiento","618","Argentina","Chubut","Gaiman","(0280) 49-1517",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Hotel Galicia","Alojamiento","Hostel","Avenida 9 de Julio","214","Argentina","Chubut","Trelew","(0280) 43-3802",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Alcamar Travel","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","San Martín","146","Argentina","Chubut","Trelew","(2965) 42-1213",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Agencia Bottazzi","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva","Primer Bajada al Mar","S/N","Argentina","Chubut","Puerto Madryn",NA,NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Whales Argentina","Actividad recreativa y deportiva","Avistaje","Avenida de Las Ballenas","S/N","Argentina","Chubut","Puerto Pirámides","(0280) 154209283",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Flamenco Tour","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Belgrano","25","Argentina","Chubut","Puerto Madryn","(0280) 445-5505",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Hotel Samay Huasi","Alojamiento","Hotel 3 estrellas","Calle Albarracín","249","Argentina","Chubut","Puerto Madryn","(0280) 445-0688",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Estación Marítima Commersonii","Transporte turístico","Excursiones","Avenida Marcelino Gonzalez","S/N","Argentina","Chubut","Rawson","(0280) 449-8508",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Oficina de Informes de Turismo Madryn","Organismo Público","Oficina de Informes","Avenida Roca","223","Argentina","Chubut","Puerto Madryn","(0280) 45-0504",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Dirección de Turismo Rawson - Oficina de Informes","Organismo Público","Oficina de Informes","Juan Manuel de Rosas y Guillermo Rawson","S/N","Argentina","Chubut","Playa Unión","(0280) 49-6887",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Oficina de Informes de Gaiman","Organismo Público","Oficina de Informes","Belgrano","S/N","Argentina","Chubut","Gaiman","(0280) 49-1571",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Departamentos Costa del Sol","Alojamiento","Hostel","Don Roberto","1367","Argentina","Chubut","Playa Unión",NA,NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Sol Patagónico","Transporte turístico","Taxi","Perito Moreno","1251","Argentina","Chubut","Trelew","(0280) 44-4121",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Asotavento","Alojamiento","Hostel","Apeleg","357","Argentina","Chubut","Puerto Madryn","(0280) 45-4983",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Museo Egidio Feruglio","Actividad Cultural","Museo","Avenida Fontana","140","Argentina","Chubut","Trelew",NA,NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Área Natural Protegida Península Valdés","Área Natural Protegida","Parque Nacional","Península Valdés","S/N","Argentina","Chubut","Puerto Madryn","(0280) 445-0489",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,2010-04-19
"Molinari Viajes","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva","Belgrano","461","Argentina","Chubut","Trelew","(02965) 42-5610",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,NA
"Categoría Patagonia","Agencia de Viajes","Empresa de Viajes y Turismo (EVT) Receptiva","Avenida Gales","193","Argentina","Chubut","Puerto Madryn","(0280) 45-4065",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,NA
"Las Robinias","Alojamiento","Hostel","Chacra","106","Argentina","Chubut","Trelew",NA,NA,NA,"Buenas Prácticas en Destinos",2007-10-15,NA
"Budget Rent-a-Car","Transporte turístico","Alquiler de autos","Avenida Roca","353","Argentina","Chubut","Puerto Madryn","(0280) 43-4634",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,NA
"Hotel Rayentray","Alojamiento","Hostel","San MartÍn","101","Argentina","Chubut","Trelew","(0280) 43-4702",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,NA
"Verdes Sauces","Actividad recreativa y deportiva","Cabalgatas","Boulevard Parque Los Mimbres","C/N 4","Argentina","Chubut","Trelew","(0381) 44-3089",NA,NA,"Buenas Prácticas en Destinos",2007-10-15,NA
"Automóvil Club Argentino (ACA) - Complejo Turístico Punta Cuevas","Alojamiento","Hostel","Boulevard Almirante Brown","3869","Argentina","Chubut","Puerto Madryn","(0280) 488-3485",NA,NA,"Buenas Prácticas en Destinos",2007-10-16,2010-04-19
"Complejo Althea","Alojamiento","Hostel","Castelli","395","Argentina","Chubut","Puerto Madryn","(0280) 45-4177",NA,NA,"Buenas Prácticas en Destinos",2007-10-24,2010-04-19
"Hotel la Posada de Madryn","Alojamiento","Hostel","Abraham Mathews","2951","Argentina","Chubut","Puerto Madryn","(0280) 45-3525",NA,NA,"Buenas Prácticas en Destinos",2007-10-24,2010-04-19
"Argentina Visión Servicios Turísticos","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida Julio A Roca","536","Argentina","Chubut","Puerto Madryn","(0280) 45-5888",NA,NA,"Buenas Prácticas en Destinos",2007-10-24,2010-04-19
"Hotel Punta León","Alojamiento","Hostel","Juan de La Piedra y José Hernández","S/N","Argentina","Chubut","Playa Unión","(0280) 49-8042",NA,NA,"Buenas Prácticas en Destinos",2007-10-24,2010-04-19
"Complejo Bahía Delfines","Alojamiento","Hostel","Aaron Jenkins y Florencio Sánchez","S/N","Argentina","Chubut","Puerto Madryn","(0280) 430-5499",NA,NA,"Buenas Prácticas en Destinos",2007-10-24,NA
"Wild Skies Rent-a-Car","Transporte turístico","Alquiler de autos","Avenida Hipólito Yrigoyen","144","Argentina","Chubut","Puerto Madryn",NA,NA,NA,"Buenas Prácticas en Destinos",2007-10-24,NA
"Casimiro Biguá Grill","Gastronomía","Restaurante","Avenida Libertador","993","Argentina","Santa Cruz","El Calafate","(0054) - 2902 - 493993",NA,NA,"ISO 9001:2000",2007-10-24,NA
"Aventura Andina","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida Libertador","761","Argentina","Santa Cruz","El Calafate","(0054) 2902491726 / 2902-492112",NA,NA,"ISO 9001:2008",2007-11-27,NA
"Aventura Andina","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","20 de Febrero","419","Argentina","Salta","Salta","(0054) 387 4228237",NA,NA,"ISO 9001:2008",2007-11-27,NA
"Patagonia Backpacker´s","Agencia de Viajes","Empresa de Viajes y Turismo (EVT)","Avenida Libertador","587","Argentina","Santa Cruz","El Calafate","(0054) - 2902 -492492, 496242",NA,NA,"ISO 9001:2008",2007-11-30,NA
"Los Colorados","Alojamiento","Boutique","El Chapacal - Paseo los Colorados","S/N","Argentina","Jujuy","Purmamarca","(0388) 4908182",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Refugio del Pintor","Alojamiento","Hotel sin categorizar","Alberro","S/N","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Hotel Cerro Chico - Lo del Francés","Alojamiento","Hotel sin categorizar","Cerro Chico","S/N","Argentina","Jujuy","Tilcara","(0388) 495-5732",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Gaia Habit Boutique","Alojamiento","Boutique","Belgrano","472","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Quinta La Paceña","Alojamiento","Hotel 3 estrellas","Doctor Padilla","660","Argentina","Jujuy","Tilcara","(0388) 495-5098",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Inti Tampu","Alojamiento","Hotel sin categorizar","Alverro","141","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Posada de Luz","Alojamiento","Posada","Ambrosetti","661","Argentina","Jujuy","Tilcara","(0388) 495-5748",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Oficina de Informes de Purmamarca","Organismo Público","Oficina de Informes","Florida","S/N","Argentina","Jujuy","Purmamarca","(0388) 490-8443",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"El Manantial del Silencio","Alojamiento","Boutique","Ruta Nacional 52","Km 35","Argentina","Jujuy","Purmamarca","(0388) 490-8080",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Portal de la Quebrada","Alojamiento","Hotel sin categorizar","17 de Octubre","S/N","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Hotel Vientonorte","Alojamiento","Hotel sin categorizar","Jujuy","536","Argentina","Jujuy","Tilcara","(0388) 495-5605",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Hotel Boutique Las Terrazas","Alojamiento","Boutique","Calle de La Sorpresa Esquina San Martín","S/N","Argentina","Jujuy","Tilcara","(0388) 495-5589",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Alas del Alma","Alojamiento","Cabañas","Doctor Padilla","437","Argentina","Jujuy","Tilcara","(0388) 495-5572",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Celestino Artesanías","Actividad Cultural","Artesano","Belgrano","472","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"La Casa de Champa","Gastronomía","Casa de Té","Belgrano","763","Argentina","Jujuy","Tilcara","(0388) 439-2793",NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Oscar Ariel Flores","Guías","Guías Individuales","Rivadavia","281","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Cabañas Huaira Huasi","Alojamiento","Cabañas","Ruta Nacional 52","Km 5","Argentina","Jujuy","Purmamarca",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Rincón de Fuego","Alojamiento","Hotel sin categorizar","Ambrosetti","445","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Hostería del Amauta","Alojamiento","Hostería","Salta","S/N","Argentina","Jujuy","Purmamarca",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"Uwa Wasi","Alojamiento","Hotel sin categorizar","Lavalle","564","Argentina","Jujuy","Tilcara",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
"El Refugio del Coquena","Alojamiento","Hotel sin categorizar","Ruta 52","Km 35","Argentina","Jujuy","Purmamarca",NA,NA,NA,"Buenas Prácticas en Destinos",2007-12-12,2010-07-02
